taxid,level,total_sequence_length,total_alignment_length
1395974,genus,860465.0,462462
943830,species,602920.0,398247
469,genus,637663.0,396052
40214,species,460395.0,299481
561,genus,148879.0,152644
562,species,148879.0,152644
13687,genus,83024.0,129240
1912216,genus,165046.0,89834
1747,species,165046.0,89834
2743575,species,136661.0,69801
129951,species,4834097.0,60242
10509,genus,4834097.0,60242
694002,genus,165929288.0,31379
694003,species,165929288.0,31379
178174,genus,96992.0,30098
1961362,species,28610.0,27012
40323,genus,0.0,26365
374,genus,106707.0,25081
2592814,species,150221.0,22703
13689,species,0.0,21559
1279,genus,53049.0,20784
55193,genus,81582.0,20608
76775,species,81582.0,20608
1076,species,44411.0,20265
1073,genus,44411.0,20265
1327635,species,0.0,19342
1938607,species,28843.0,19095
152682,species,9316.0,18778
165695,genus,0.0,18774
2592815,species,49478.0,18589
2592816,species,48081.0,18371
71139,species,79900.0,16936
3932,genus,79900.0,16936
152053,genus,0.0,15073
1904944,species,0.0,14996
29465,genus,33902.0,12639
547,genus,15905.0,12165
1282,species,40043.0,12003
921,species,0.0,11760
40324,species,0.0,11369
99,genus,0.0,11234
13690,species,0.0,10901
29466,species,33902.0,10590
28090,species,0.0,10135
299767,species,0.0,9648
1850374,species,0.0,9176
352858,species,7972.0,8486
1386,genus,7972.0,8486
219892,species,10042.0,8097
219895,species,41890.0,7125
29430,species,0.0,6502
2053,genus,0.0,6397
2054,species,0.0,6397
219896,species,0.0,6278
1679311,species,22522.0,5454
1560345,species,0.0,5312
1325120,species,0.0,4954
2219696,species,0.0,4701
38304,species,0.0,4682
1716,genus,0.0,4682
399044,genus,0.0,4652
399045,species,0.0,4652
2592817,species,9765.0,4552
1290,species,0.0,4468
34062,species,0.0,3979
475,genus,0.0,3979
424800,species,0.0,3927
1325100,species,56564.0,3911
1315974,species,0.0,3428
2709380,species,0.0,3313
107,genus,0.0,3267
1523415,species,0.0,3242
1197460,species,0.0,3232
334460,species,22538.0,3144
1325102,species,32664.0,3090
1646498,species,0.0,2973
470,species,22133.0,2842
307643,species,14114.0,2694
33986,genus,14114.0,2694
520734,species,0.0,2694
286,genus,0.0,2600
253237,species,0.0,2600
1866885,genus,0.0,2586
56689,species,0.0,2586
2742646,species,15905.0,2517
10298,species,12984.0,2495
10294,genus,12984.0,2495
1325111,species,0.0,2372
2596913,species,0.0,2369
1280,species,13006.0,2331
31998,species,0.0,2276
407,genus,0.0,2276
2020312,species,0.0,2254
379,genus,0.0,2254
48296,species,0.0,2124
1379870,species,0.0,2063
1745854,species,0.0,2058
2682456,species,0.0,2049
1882747,species,0.0,2046
1033,genus,0.0,2046
45972,species,0.0,1982
88055,genus,0.0,1949
88056,species,0.0,1949
32207,genus,0.0,1934
43675,species,0.0,1934
29448,species,0.0,1864
1673076,species,0.0,1751
54005,species,9291.0,1682
162289,genus,9291.0,1682
2599805,species,0.0,1681
1549858,species,0.0,1631
69578,genus,0.0,1541
1978566,species,0.0,1541
420628,genus,0.0,1521
2042888,species,0.0,1521
2599297,species,16255.0,1465
756892,species,18474.0,1303
2710596,species,0.0,1204
2057741,species,0.0,1102
2599819,species,0.0,1024
1404888,species,17479.0,941
1404768,species,0.0,910
1879050,species,0.0,891
1390395,species,0.0,807
2593653,species,0.0,799
-200,genus,0.0,799
178132,genus,0.0,602
178133,species,0.0,602
1389713,species,0.0,481
1763,genus,0.0,481
